cycle,env,symbol
13935614540,linux,keystone_create_enclave
13935614620,linux,calculate_required_pages
13935614748,linux,create_enclave
13935615130,linux,kmem_cache_alloc
13935615762,linux,__get_free_pages
13935615873,linux,__alloc_pages_nodemask
13935616241,linux,get_page_from_freelist
13935617132,linux,__zone_watermark_ok
13935617679,linux,_raw_spin_lock_irqsave
13935620446,linux,__mod_zone_page_state
13935621845,linux,memset
13935815616,linux,kmem_cache_alloc
13935816693,linux,epm_init
13935816757,linux,init_free_pages
13935816932,linux,kmem_cache_alloc
13935817493,linux,kmem_cache_alloc
13935817725,linux,kmem_cache_alloc
13935817810,linux,kmem_cache_alloc
13935818030,linux,kmem_cache_alloc
13935818115,linux,kmem_cache_alloc
13935818335,linux,kmem_cache_alloc
13935818420,linux,kmem_cache_alloc
13935818640,linux,kmem_cache_alloc
13935818725,linux,kmem_cache_alloc
13935818945,linux,kmem_cache_alloc
13935819030,linux,kmem_cache_alloc
13935819250,linux,kmem_cache_alloc
13935819335,linux,kmem_cache_alloc
13935819555,linux,kmem_cache_alloc
13935819640,linux,kmem_cache_alloc
13935819860,linux,kmem_cache_alloc
13935819945,linux,kmem_cache_alloc
13935820165,linux,kmem_cache_alloc
13935820250,linux,kmem_cache_alloc
13935820470,linux,kmem_cache_alloc
13935820555,linux,kmem_cache_alloc
13935820775,linux,kmem_cache_alloc
13935820860,linux,kmem_cache_alloc
13935821080,linux,kmem_cache_alloc
13935821165,linux,kmem_cache_alloc
13935821385,linux,kmem_cache_alloc
13935821470,linux,kmem_cache_alloc
13935821690,linux,kmem_cache_alloc
13935821775,linux,kmem_cache_alloc
13935821995,linux,kmem_cache_alloc
13935822080,linux,kmem_cache_alloc
13935822425,linux,get_free_page.part.0
13935822548,linux,kfree
13935823771,linux,keystone_rtld_init_runtim
13935823982,linux,_copy_from_user
13935824055,linux,__copy_user
13935824179,linux,handle_exception
13935825019,linux,do_page_fault
13935825617,linux,down_read
13935825767,linux,__down_read
13935825877,linux,__down_read_common
13935826032,linux,_raw_spin_lock_irqsave
13935826352,linux,_raw_spin_unlock_irqresto
13935826602,linux,find_vma
13935826716,linux,vmacache_find
13935828825,linux,vmacache_update
13935829179,linux,handle_mm_fault
13935829463,linux,__handle_mm_fault
13935830834,linux,filemap_map_pages
13935831263,linux,radix_tree_next_chunk
13935831816,linux,__do_fault
13935831935,linux,filemap_fault
13935832265,linux,pagecache_get_page
13935832541,linux,find_get_entry
13935832759,linux,radix_tree_lookup_slot
13935832864,linux,__radix_tree_lookup
13935833567,linux,__do_page_cache_readahead
13935833858,linux,radix_tree_lookup
13935833866,linux,__radix_tree_lookup
13935833913,linux,__alloc_pages_nodemask
13935834474,linux,get_page_from_freelist
13935836511,linux,radix_tree_lookup
13935836563,linux,__radix_tree_lookup
13935836605,linux,__alloc_pages_nodemask
13935836678,linux,get_page_from_freelist
13935837068,linux,radix_tree_lookup
13935837075,linux,__radix_tree_lookup
13935837177,linux,__alloc_pages_nodemask
13935837241,linux,get_page_from_freelist
13935837565,linux,radix_tree_lookup
13935837572,linux,__radix_tree_lookup
13935837610,linux,__alloc_pages_nodemask
13935837764,linux,get_page_from_freelist
13935838127,linux,radix_tree_lookup
13935838134,linux,__radix_tree_lookup
13935838172,linux,__alloc_pages_nodemask
13935838236,linux,get_page_from_freelist
13935838605,linux,radix_tree_lookup
13935838612,linux,__radix_tree_lookup
13935838650,linux,__alloc_pages_nodemask
13935838714,linux,get_page_from_freelist
13935839092,linux,blk_start_plug
13935839425,linux,ext2_readpages
13935839539,linux,mpage_readpages
13935839945,linux,add_to_page_cache_lru
13935840079,linux,radix_tree_maybe_preload
13935840143,linux,__radix_tree_preload
13935840572,linux,__add_to_page_cache_locke
13935840711,linux,_raw_spin_lock_irq
13935840847,linux,page_cache_tree_insert
13935841024,linux,__radix_tree_create
13935841456,linux,shmem_mapping
13935841541,linux,__radix_tree_replace
13935841832,linux,replace_slot
13935842184,linux,__inc_node_page_state
13935842244,linux,__inc_node_state
13935842958,linux,lru_cache_add
13935843026,linux,__lru_cache_add
13935843504,linux,do_mpage_readpage
13935843928,linux,ext2_get_block
13935844103,linux,ext2_get_blocks.constprop
13935844519,linux,ext2_block_to_path
13935845047,linux,ext2_get_branch
13935846870,linux,bdev_read_page
13935847407,linux,mpage_alloc
13935847588,linux,bio_alloc_bioset
13935847809,linux,mempool_alloc
13935848039,linux,mempool_alloc_slab
13935848099,linux,kmem_cache_alloc
13935848864,linux,memset
13935849376,linux,bvec_alloc
13935849710,linux,kmem_cache_alloc
13935849989,linux,___slab_alloc.isra.10.con
13935851485,linux,bio_add_page
13935852170,linux,add_to_page_cache_lru
13935852250,linux,radix_tree_maybe_preload
13935852314,linux,__radix_tree_preload
13935852686,linux,__add_to_page_cache_locke
13935852774,linux,_raw_spin_lock_irq
13935852867,linux,page_cache_tree_insert
13935852994,linux,__radix_tree_create
13935853196,linux,radix_tree_extend
13935853392,linux,radix_tree_node_alloc.con
13935853600,linux,kmem_cache_alloc
13935854687,linux,shmem_mapping
13935854720,linux,__radix_tree_replace
13935854857,linux,replace_slot
13935854942,linux,workingset_update_node
13935855075,linux,delete_node
13935855534,linux,__inc_node_page_state
13935855542,linux,__inc_node_state
13935855902,linux,lru_cache_add
13935855918,linux,__lru_cache_add
13935856069,linux,do_mpage_readpage
13935856544,linux,bio_add_page
13935856826,linux,add_to_page_cache_lru
13935856957,linux,radix_tree_maybe_preload
13935856967,linux,__radix_tree_preload
13935857044,linux,__add_to_page_cache_locke
13935857135,linux,_raw_spin_lock_irq
13935857225,linux,page_cache_tree_insert
13935857249,linux,__radix_tree_create
13935857516,linux,shmem_mapping
13935857549,linux,__radix_tree_replace
13935857581,linux,replace_slot
13935857611,linux,workingset_update_node
13935857644,linux,delete_node
13935857797,linux,__inc_node_page_state
13935857805,linux,__inc_node_state
13935858114,linux,lru_cache_add
13935858182,linux,__lru_cache_add
13935858322,linux,do_mpage_readpage
13935858560,linux,bio_add_page
13935858700,linux,guard_bio_eod
13935858819,linux,__disk_get_part
13935859189,linux,submit_bio
13935859852,linux,generic_make_request
13935859970,linux,generic_make_request_chec
13935860850,linux,blk_queue_enter
13935861610,linux,blk_queue_bio
13935861726,linux,blk_queue_bounce
13935862726,linux,blk_queue_split
13935863955,linux,bio_split
13935864077,linux,bio_clone_fast
13935864140,linux,bio_alloc_bioset
13935864320,linux,mempool_alloc
13935864766,linux,mempool_alloc_slab
13935864917,linux,kmem_cache_alloc
13935865396,linux,memset
13935865626,linux,__bio_clone_fast
13935865845,linux,bio_advance
13935866427,linux,bio_chain
13935866514,linux,generic_make_request
13935866578,linux,generic_make_request_chec
13935867260,linux,blk_attempt_plug_merge
13935867573,linux,_raw_spin_lock_irq
13935867744,linux,elv_merge
13935868080,linux,get_request
13935868637,linux,elv_may_queue
13935869045,linux,cfq_may_queue
13935869210,linux,ioc_lookup_icq
13935869640,linux,cfq_init_prio_data.isra.2
13935870292,linux,ioc_lookup_icq
13935870394,linux,mempool_alloc
13935870525,linux,alloc_request_simple
13935870714,linux,kmem_cache_alloc
13935871261,linux,blk_rq_init
13935871327,linux,memset
13935872125,linux,elv_set_request
13935872245,linux,cfq_set_request
13935872435,linux,_raw_spin_lock_irq
13935873134,linux,get_io_context
13935873426,linux,blk_init_request_from_bio
13935873652,linux,blk_rq_bio_prep
13935873775,linux,bio_phys_segments
13935874058,linux,blk_account_io_start
13935874294,linux,disk_map_sector_rcu
13935874652,linux,part_round_stats
13935874891,linux,part_inc_in_flight
13935875184,linux,blk_queue_exit
13935875626,linux,blk_queue_enter
13935875868,linux,blk_queue_bio
13935875932,linux,blk_queue_bounce
13935876453,linux,blk_queue_split
13935876759,linux,blk_attempt_plug_merge
13935876943,linux,blk_rq_merge_ok
13935877214,linux,_raw_spin_lock_irq
13935877245,linux,elv_merge
13935877424,linux,elv_rqhash_find
13935877781,linux,cfq_merge
13935877797,linux,ioc_lookup_icq
13935877990,linux,elv_rb_find
13935878240,linux,get_request
13935878418,linux,elv_may_queue
13935878551,linux,cfq_may_queue
13935878567,linux,ioc_lookup_icq
13935878693,linux,cfq_init_prio_data.isra.2
13935878954,linux,ioc_lookup_icq
13935879060,linux,mempool_alloc
13935879145,linux,alloc_request_simple
13935879252,linux,kmem_cache_alloc
13935879512,linux,blk_rq_init
13935879579,linux,memset
13935880091,linux,elv_set_request
13935880112,linux,cfq_set_request
